"","EXPEDIENTE","TIPO","REGIÓN","PROVINCIA","CIUDAD","TAMAÑO","SECTOR","EMPLEADOS","ACTIVO","PATRIMONIO","VENTAS","UTILIDAD","SECTOR_PROD"
"23",97292,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",101,19887511,1403079.26,11665586.1,1297100.99,"AGRICULTURA"
"24",104277,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",119,33388090.6,14566486.6,15972145.48,1227801.96,"AGRICULTURA"
"25",709719,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",4,2334905.9,1221488.51,0,1222099.13,"AGRICULTURA"
"26",5768,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","GRANDE","SOCIETARIO",581,22887070.6,17757097.8,18643088.54,1202739.84,"AGRICULTURA"
"27",53499,"ANÓNIMA","SIERRA","PICHINCHA","MACHACHI","GRANDE","SOCIETARIO",325,8956003.39,4728844.24,9530516.62,1188159.24,"AGRICULTURA"
"28",19709,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",45,9416745.04,4936964.86,7911772.22,1173689.52,"AGRICULTURA"
"29",85241,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",15,14321340,4504246.3,21656304.84,1163799.63,"AGRICULTURA"
"30",3617,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",2192,43912046,19706848.5,26094103.62,1128733.56,"AGRICULTURA"
"31",32114,"RESPONSABILIDAD LIMITADA","SIERRA","AZUAY","CUENCA","MEDIANA","SOCIETARIO",12,4297709.44,1480355.36,765187.28,1124298.27,"AGRICULTURA"
"32",96012,"ANÓNIMA","COSTA","MANABI","PORTOVIEJO","GRANDE","SOCIETARIO",227,10716870.6,4864696.34,15102081.4,1094308.97,"AGRICULTURA"
"33",44309,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",42,2431708.77,1151084.42,5193033.26,1077309.18,"AGRICULTURA"
"34",44886,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",92,4625943.52,3145754.56,10664831.86,1062820.66,"AGRICULTURA"
"35",139100,"ANÓNIMA","SIERRA","PICHINCHA","MACHACHI","GRANDE","SOCIETARIO",239,5915472.43,3980242.04,10553127.76,1060929.46,"AGRICULTURA"
"36",82502,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",4,3381116.01,1115497.48,1672331.07,1059534.44,"AGRICULTURA"
"37",35973,"ANÓNIMA","COSTA","MANABI","MANTA","GRANDE","SOCIETARIO",23,15228965.7,6949168.48,11086743.1,1058781.65,"AGRICULTURA"
"38",40538,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","GRANDE","SOCIETARIO",57,10082707.7,4308927.48,8199367.39,1043136.4,"AGRICULTURA"
"39",705769,"ANÓNIMA","COSTA","LOS RIOS","BABAHOYO","GRANDE","SOCIETARIO",413,10021466.7,8861982.81,6928325.38,991855.07,"AGRICULTURA"
"40",169047,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",394,7700910.74,1840923.98,8287757.77,984402.09,"AGRICULTURA"
"41",156084,"RESPONSABILIDAD LIMITADA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",158,9256298.43,4396482.13,21543924,971483.47,"AGRICULTURA"
"42",7293,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",120,79691096.6,62209618.7,42145824.51,965262.91,"AGRICULTURA"
"43",38359,"ANÓNIMA","COSTA","EL ORO","EL GUABO","GRANDE","SOCIETARIO",105,16591061.4,10281116.3,14080241.23,934172.83,"AGRICULTURA"
"44",96020,"ANÓNIMA","COSTA","MANABI","MANTA","GRANDE","SOCIETARIO",192,27421892,9344717.11,15824849.8,931228.84,"AGRICULTURA"
"45",40910,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",38,5636212.9,2371455.21,5754462.1,930634.41,"AGRICULTURA"
"46",23592,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",169,6678739.7,3375885.69,11344874.12,918226.16,"AGRICULTURA"
"47",135544,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","GRANDE","SOCIETARIO",449,16071366.9,10125568.2,11345081.5,909357.15,"AGRICULTURA"
"48",44078,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",13,2509456.22,2299839.21,3415385.94,903321.5,"AGRICULTURA"
"49",4094,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","PEQUEÑA","SOCIETARIO",3,13533780,8060942.75,0,900707.29,"AGRICULTURA"
"50",42394,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","GRANDE","SOCIETARIO",66,4932368.65,3605874.53,5238322.17,894850.85,"AGRICULTURA"
"51",48975,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",95,3971623.06,2083092.17,5814182.02,893004.85,"AGRICULTURA"
"52",122080,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",614,9828045.4,2485198.16,10032693.42,858781.53,"AGRICULTURA"
"53",127904,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",65,3185483.21,1342207.98,5987250.18,825207.32,"AGRICULTURA"
"54",708551,"ANÓNIMA","COSTA","GUAYAS","DAULE","GRANDE","SOCIETARIO",64,7716726.14,1176230.82,7175432.7,796907.02,"AGRICULTURA"
"55",41204,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",159,5731081.48,3222488.32,9698359.41,788552.39,"AGRICULTURA"
"56",9134,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","MERCADO DE VALORES",6681,402686882.7,205112939.1,196444826.2,781856.75,"AGRICULTURA"
"57",135597,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",2,941490.67,852402.89,311915.47,750668.22,"AGRICULTURA"
"58",63801,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",401,13540992.7,4417062.35,8250121.54,750322.05,"AGRICULTURA"
"59",202173,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",331,9117782.71,3421497.8,8168266.73,735542.85,"AGRICULTURA"
"60",19119,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","MEDIANA","SOCIETARIO",32,5004715.2,3655050.84,4778762.31,726003.94,"AGRICULTURA"
"61",165196,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",424,15190298.5,11543436.7,12134441.02,721147.22,"AGRICULTURA"
"62",113312,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",51,7184259.48,4558793.29,4269613.64,689258.22,"AGRICULTURA"
"63",19573,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",113,11135050.1,3542477.04,9187478.56,666423.73,"AGRICULTURA"
"64",712055,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","GRANDE","SOCIETARIO",121,4420985.79,740489.76,8003581.5,666096.83,"AGRICULTURA"
"65",202157,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",184,6468973.14,2881135.57,3532320.63,665250.24,"AGRICULTURA"
"66",19074,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",54,3932481.08,3060608.38,7035368.68,647658.44,"AGRICULTURA"
"67",713870,"ANÓNIMA","COSTA","MANABI","JARAMIJÓ","MEDIANA","SOCIETARIO",29,10358296.8,2588533.63,3999422.6,623088.72,"AGRICULTURA"
"68",202159,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",188,5663982.02,3890302.69,3946527.64,612655.89,"AGRICULTURA"
"69",153751,"RESPONSABILIDAD LIMITADA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",281,7925859.51,4297128.27,10920731.25,610530.17,"AGRICULTURA"
"70",99282,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",109,9630202.54,5176409.45,8730309.25,603623.2,"AGRICULTURA"
"71",113993,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",552,11480900.5,7904796.63,11012894.97,582608.59,"AGRICULTURA"
"72",205233,"RESPONSABILIDAD LIMITADA","COSTA","MANABI","MONTECRISTI","GRANDE","SOCIETARIO",75,4683099.08,1873809.86,5793706.7,571970.35,"AGRICULTURA"
"73",92765,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",23,3975465.33,566259.83,7365766.79,568501.14,"AGRICULTURA"
"74",11578,"RESPONSABILIDAD LIMITADA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",20,1968152.44,1798431.51,2213283.39,563853.56,"AGRICULTURA"
"75",161032,"RESPONSABILIDAD LIMITADA","SIERRA","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO DE LOS COLORADOS","MEDIANA","SOCIETARIO",81,1793028.76,769267.71,2983834.11,550039.9,"AGRICULTURA"
"76",86611,"ANÓNIMA","ORIENTE","NAPO","TENA","GRANDE","SOCIETARIO",169,5547859.81,3924626.18,8917967.21,546177.07,"AGRICULTURA"
"77",701613,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","PEQUEÑA","SOCIETARIO",1,1763906.36,1534661.54,51425.15,536899.83,"AGRICULTURA"
"78",45843,"ANÓNIMA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",39,2073461.67,519125.83,3451129.49,531561.75,"AGRICULTURA"
"79",34614,"ANÓNIMA","COSTA","MANABI","MANTA","GRANDE","SOCIETARIO",109,17900117,9929652.62,6412702.47,531414.85,"AGRICULTURA"
"80",37113,"ANÓNIMA","SIERRA","TUNGURAHUA","AMBATO","GRANDE","MERCADO DE VALORES",192,30576087.68,9532566.34,22966396.41,525095.35,"AGRICULTURA"
"81",181918,"ANÓNIMA","SIERRA","IMBABURA","IBARRA","MEDIANA","SOCIETARIO",25,2378506.27,1772012.01,4155210.72,524958.09,"AGRICULTURA"
"82",713030,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",79,11373846.1,525302.98,9048862.15,524566.71,"AGRICULTURA"
"83",54164,"RESPONSABILIDAD LIMITADA","SIERRA","COTOPAXI","ALAQUEZ","MEDIANA","SOCIETARIO",5,1e+06,1e+06,41308.15,518863.69,"AGRICULTURA"
"84",54162,"RESPONSABILIDAD LIMITADA","SIERRA","PICHINCHA","CAYAMBE","GRANDE","SOCIETARIO",1581,28845715.8,14303120,28280771.25,516459.35,"AGRICULTURA"
"85",86030,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","MEDIANA","SOCIETARIO",12,1518881.06,1177522.68,1907703.02,512435.47,"AGRICULTURA"
"86",34759,"ANÓNIMA","COSTA","MANABI","MANTA","MEDIANA","SOCIETARIO",4,9072261.99,7505133.95,1098356.25,510089.02,"AGRICULTURA"
"87",44557,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",5,10416028.8,9797473.8,1001601.97,507203.57,"AGRICULTURA"
"88",62454,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",187,7059369.74,1637385.04,4735640.85,506606.07,"AGRICULTURA"
"89",3565,"ANÓNIMA","COSTA","LOS RIOS","BABAHOYO","MEDIANA","SOCIETARIO",81,5501615.94,2278759.36,3936160.19,501040.19,"AGRICULTURA"
"90",97142,"RESPONSABILIDAD LIMITADA","COSTA","EL ORO","SANTA ROSA","GRANDE","SOCIETARIO",155,11497775.5,2946707.93,5396599.82,500161.05,"AGRICULTURA"
"91",71098,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",25,3263787.28,2289960.53,4816118.28,499694.27,"AGRICULTURA"
"92",75039,"ANÓNIMA","COSTA","GUAYAS","NARCISA DE JESÚS (NOBOL)","GRANDE","SOCIETARIO",87,8054325.79,4336292.84,15897154.6,496704.22,"AGRICULTURA"
"93",124446,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",53,8731911.63,1118775.53,54037141.1,493322.24,"AGRICULTURA"
"94",24668,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",88,6557866.47,1887114.19,10165826,489510.09,"AGRICULTURA"
"95",118745,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",26,2786251.43,2007215.84,3957421.66,488288.52,"AGRICULTURA"
"96",710258,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","MEDIANA","SOCIETARIO",25,849920.14,518065.01,1626571.5,479641.61,"AGRICULTURA"
"97",1678,"ANÓNIMA EN PREDIOS RÚSTICOS","SIERRA","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO DE LOS COLORADOS","MEDIANA","SOCIETARIO",135,6300378.13,4803763.53,3982113.55,476820.47,"AGRICULTURA"
"98",102761,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",124,26295824,2785771.41,25515865.88,473932.08,"AGRICULTURA"
"99",38195,"ANÓNIMA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",54,3432969.5,1472637.29,3938370.81,471468.71,"AGRICULTURA"
"100",127824,"ANÓNIMA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",38,4063921.06,1215208.4,3875470.63,469447.01,"AGRICULTURA"
"101",1324,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",90,10878968.4,10016509.1,5118414.56,452183.81,"AGRICULTURA"
"102",66732,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",335,17829233.2,3371244.86,20254113.12,440988.47,"AGRICULTURA"
"103",85306,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",394,8690422.39,4106918.31,9466019.25,439723.97,"AGRICULTURA"
"104",76651,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",30,2710736.35,2283704.16,3545476.82,424993.82,"AGRICULTURA"
"105",115665,"ANÓNIMA","COSTA","MANABI","MANTA","MEDIANA","SOCIETARIO",23,2921539.91,1099555.33,2238153.05,415769.88,"AGRICULTURA"
"106",85026,"ANÓNIMA","SIERRA","PICHINCHA","TABACUNDO","GRANDE","SOCIETARIO",361,9907763.54,6305823.35,8310039.09,410047.98,"AGRICULTURA"
"107",97439,"ANÓNIMA","COSTA","EL ORO","EL GUABO","MEDIANA","SOCIETARIO",4,1441811.02,965552.35,1794035.95,409845.45,"AGRICULTURA"
"108",36112,"ANÓNIMA","SIERRA","TUNGURAHUA","AMBATO","MEDIANA","SOCIETARIO",10,3898072.34,2883790,4338892.99,408158.61,"AGRICULTURA"
"109",96128,"ANÓNIMA","COSTA","MANABI","JARAMIJÓ","PEQUEÑA","SOCIETARIO",4,1623113.41,679072.37,515250.98,402641.48,"AGRICULTURA"
"110",9856,"ANÓNIMA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",97,1903303.7,1044169.56,2466733.78,400887.72,"AGRICULTURA"
"111",45308,"ANÓNIMA","SIERRA","IMBABURA","URCUQUI","MEDIANA","SOCIETARIO",6,2856794.11,2447023.03,1570806.27,400590.93,"AGRICULTURA"
"112",620,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",48,5152841.03,4079069.6,13266263.61,388049,"AGRICULTURA"
"113",105721,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",35,1921690.02,439340.66,3401018.03,381574.78,"AGRICULTURA"
"114",68410,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",559,5409007.48,4326378.98,4181256.62,379430.83,"AGRICULTURA"
"115",24440,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",42,3249758.04,2615444.6,4219124.73,378594.73,"AGRICULTURA"
"116",38039,"ANÓNIMA","COSTA","EL ORO","BARBONES (SUCRE)","MEDIANA","SOCIETARIO",221,2403816.15,1080267.8,3855402.39,375386.61,"AGRICULTURA"
"117",36876,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",55,2985268.55,978740.83,5498724.29,374654.44,"AGRICULTURA"
"118",97275,"ANÓNIMA","COSTA","EL ORO","EL GUABO","MEDIANA","SOCIETARIO",4,903349.93,462893.94,2190778.58,374508.34,"AGRICULTURA"
"119",146479,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",11,4451115.88,2776690.44,30523839.62,374326.63,"AGRICULTURA"
"120",174668,"ANÓNIMA","COSTA","ESMERALDAS","ESMERALDAS","GRANDE","SOCIETARIO",58,12958593.4,2791109.53,15910485.26,372457.62,"AGRICULTURA"
"121",97735,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",208,2256505.49,669937.64,10803659.64,370991.09,"AGRICULTURA"
"122",14785,"RESPONSABILIDAD LIMITADA","COSTA","MANABI","PORTOVIEJO","MEDIANA","SOCIETARIO",20,1542676.09,1209118.4,1154316,369233.12,"AGRICULTURA"
"123",47475,"ANÓNIMA","SIERRA","IMBABURA","COTACACHI","GRANDE","SOCIETARIO",2625,35769167.3,10299886.9,35072101.92,367509.63,"AGRICULTURA"
"124",202171,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",164,6508506,4449442.62,2895240.55,367209.28,"AGRICULTURA"
"125",6155,"ANÓNIMA","SIERRA","AZUAY","CUENCA","PEQUEÑA","SOCIETARIO",4,8887560.93,8614939.49,8000,361296.26,"AGRICULTURA"
"126",155063,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","MEDIANA","SOCIETARIO",120,2901451.63,1491437.29,2906175.39,361002.53,"AGRICULTURA"
"127",141240,"ANÓNIMA","COSTA","LOS RIOS","VENTANAS","MEDIANA","SOCIETARIO",6,4890361.2,2812307.76,2352115.43,359639.95,"AGRICULTURA"
"128",87896,"ANÓNIMA","SIERRA","COTOPAXI","LASSO","MEDIANA","SOCIETARIO",6,2148379.46,1417547,459100,358080.59,"AGRICULTURA"
"129",80409,"ANÓNIMA","COSTA","GUAYAS","MILAGRO","MEDIANA","SOCIETARIO",161,859162.98,463706.89,2582039.19,355400.82,"AGRICULTURA"
"130",71202,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","PEQUEÑA","SOCIETARIO",4,36390572.5,35639207.5,0,350900.4,"AGRICULTURA"
"131",149857,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",27,5199037.41,667841.28,12780903.6,349977.5,"AGRICULTURA"
"132",158032,"RESPONSABILIDAD LIMITADA","SIERRA","PICHINCHA","TABACUNDO","MEDIANA","SOCIETARIO",141,2686973.05,1879483.47,2987345.35,349590.84,"AGRICULTURA"
"133",39522,"RESPONSABILIDAD LIMITADA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",11,1392099.46,647068.44,1303244,348530.48,"AGRICULTURA"
"134",29487,"RESPONSABILIDAD LIMITADA","COSTA","LOS RIOS","QUEVEDO","GRANDE","SOCIETARIO",794,29802343.4,9557115.25,28079246.31,344808.43,"AGRICULTURA"
"135",55411,"ANÓNIMA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",42,1724870.89,718214.83,3375397.23,344136.41,"AGRICULTURA"
"136",97441,"ANÓNIMA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",149,3363690.38,1265153.84,2867981.42,331168.24,"AGRICULTURA"
"137",202163,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",170,5602610.13,3311237.62,3307235.73,329071.37,"AGRICULTURA"
"138",202172,"ANÓNIMA","SIERRA","AZUAY","CUENCA","MEDIANA","SOCIETARIO",198,5557757.64,2899042.88,3629947.91,327581.83,"AGRICULTURA"
"139",120360,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",21,1618299.17,410921.09,2249858.18,326733.09,"AGRICULTURA"
"140",55767,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","MEDIANA","SOCIETARIO",23,2294209.37,1105110.42,2638694.98,325666.59,"AGRICULTURA"
"141",5274,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",61,9342110.13,7059795.01,6193936.51,324789.5,"AGRICULTURA"
"142",127393,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","GRANDE","SOCIETARIO",16,2545178.56,637122.72,12228893.9,321786.52,"AGRICULTURA"
"143",40493,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","MEDIANA","SOCIETARIO",38,6857452.01,5143971.48,4935750.14,315365.98,"AGRICULTURA"
"144",170590,"RESPONSABILIDAD LIMITADA","COSTA","EL ORO","SANTA ROSA","GRANDE","SOCIETARIO",97,17953536,824624.02,5345508.71,311861.47,"AGRICULTURA"
"145",18769,"ANÓNIMA","SIERRA","PICHINCHA","QUITO","GRANDE","SOCIETARIO",734,42588010,19967283.6,26889400.89,311108.31,"AGRICULTURA"
"146",20916,"ANÓNIMA","COSTA","GUAYAS","SAMBORONDÓN","PEQUEÑA","SOCIETARIO",4,3917523.72,2952513.95,77742.08,306264.95,"AGRICULTURA"
"147",170269,"ANÓNIMA","SIERRA","COTOPAXI","LA MANÁ","GRANDE","SOCIETARIO",3,4630264.78,1355967.74,5945861.19,306157.17,"AGRICULTURA"
"148",179827,"RESPONSABILIDAD LIMITADA","SIERRA","AZUAY","CUENCA","GRANDE","SOCIETARIO",45,2714037.63,1499856.38,6401015.34,304797.34,"AGRICULTURA"
"149",9649,"ANÓNIMA","COSTA","GUAYAS","ELOY ALFARO (DURAN)","GRANDE","SOCIETARIO",197,10652191.3,3755251.39,29148385.97,302513.67,"AGRICULTURA"
"150",38904,"ANÓNIMA","COSTA","EL ORO","HUAQUILLAS","MEDIANA","SOCIETARIO",49,1848560.02,644229.65,2762801.16,300410.99,"AGRICULTURA"
"151",19424,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",27,2973270.14,1462704.55,6181343.97,298908.52,"AGRICULTURA"
"152",713059,"ANÓNIMA","COSTA","EL ORO","MACHALA","GRANDE","SOCIETARIO",79,8559681.51,299618.8,5567365.36,298886.02,"AGRICULTURA"
"153",62987,"RESPONSABILIDAD LIMITADA","COSTA","EL ORO","MACHALA","MEDIANA","SOCIETARIO",55,2903882.88,2505775.14,1710845.42,298509.75,"AGRICULTURA"
"154",120997,"ANÓNIMA","COSTA","GUAYAS","GUAYAQUIL","MEDIANA","SOCIETARIO",25,1855883.62,895114.83,4784738.3,297667.46,"AGRICULTURA"
